pr_id,pr_category,pr_name,pr_cost,pr_rating,pr_description,pr_image
P136,fashion,Waterproof Watch Sport,3329,4.1,This waterproof watch is perfect for any occasion. Features sport details.,data/images/P136.jpg
P103,fashion,Waterproof Sneakers Black,3587,3.8,Complete your look with this waterproof sneakers. Comes in a stunning black color.,data/images/P103.jpg
P583,grocery,Organic Dal 1kg,81,3.5,Quality organic dal for your daily meals. Comes in a 1kg pack.,data/images/P583.jpg
P81,fashion,Leather Handbag Brown,6414,3.6,This leather handbag is perfect for any occasion. Features brown details.,data/images/P81.jpg
P575,electronics,Smart Mouse Mini,692,4.0,Upgrade your setup with this smart mouse. Features a mini finish.,data/images/P575.jpg
P339,daily_essential,Daily Tissue 1L,151,3.2,Essential tissue for your home. This daily version comes in 1l.,data/images/P339.jpg
P124,grocery,Whole Dal Bag,189,3.2,Quality whole dal for your daily meals. Comes in a bag pack.,data/images/P124.jpg
P315,electronics,Slim Laptop Gen-2,129693,4.0,Experience the power of this slim laptop. Designed with gen-2 specs.,data/images/P315.jpg
P576,grocery,Spicy Spices Instant,243,3.6,Enjoy the taste of spicy spices. The instant is great for sharing.,data/images/P576.jpg
P207,daily_essential,Strong Cleaner Roll,197,3.6,Essential cleaner for your home. This strong version comes in roll.,data/images/P207.jpg
P166,daily_essential,Soft Detergent 1L,393,4.1,Essential detergent for your home. This soft version comes in 1l.,data/images/P166.jpg
P567,grocery,Refined Wheat 10kg,73,4.9,Quality refined wheat for your daily meals. Comes in a 10kg pack.,data/images/P567.jpg
P180,fashion,Stylish Heels Brown,3922,4.5,This stylish heels is perfect for any occasion. Features brown details.,data/images/P180.jpg
P503,daily_essential,Soft Tissue Active,43,4.0,Essential tissue for your home. This soft version comes in active.,data/images/P503.jpg
P540,luxury,Limited Edition Luxury Watch Signature,74285,3.9,Indulge in luxury with this limited edition luxury watch. Comes in a signature.,data/images/P540.jpg
P479,luxury,Royal Clutch Classic,11952,3.9,Indulge in luxury with this royal clutch. Comes in a classic.,data/images/P479.jpg
P206,daily_essential,Gentle Toothpaste Lemon,138,4.8,Keep it fresh with our gentle toothpaste. Enriched with lemon.,data/images/P206.jpg
P321,grocery,Whole Rice 5kg,474,3.4,Quality whole rice for your daily meals. Comes in a 5kg pack.,data/images/P321.jpg
P69,luxury,Elegant Luxury Watch Velvet Box,180796,4.6,Indulge in luxury with this elegant luxury watch. Comes in a velvet box.,data/images/P69.jpg
P259,electronics,High-Performance Monitor 2025 Edition,24988,3.7,Experience the power of this high-performance monitor. Designed with 2025 edition specs.,data/images/P259.jpg
P422,luxury,Handcrafted Gold Necklace Ruby,128784,4.5,The ultimate symbol of elegance: handcrafted gold necklace with ruby setting.,data/images/P422.jpg
P627,luxury,Pure Gold Diamond Ring Ruby,76739,4.1,The ultimate symbol of elegance: pure gold diamond ring with ruby setting.,data/images/P627.jpg
P378,fashion,Leather Heels Brown,3734,4.6,This leather heels is perfect for any occasion. Features brown details.,data/images/P378.jpg
P417,luxury,Handcrafted Earrings 24k,39419,4.4,The ultimate symbol of elegance: handcrafted earrings with 24k setting.,data/images/P417.jpg
P170,fashion,Stylish Watch Brown,1017,3.4,Complete your look with this stylish watch. Comes in a stunning brown color.,data/images/P170.jpg
P387,electronics,Fast Smartphone Gen-2,63841,3.1,Experience the power of this fast smartphone. Designed with gen-2 specs.,data/images/P387.jpg
P443,electronics,Wireless Headphones Silver,13529,4.3,Upgrade your setup with this wireless headphones. Features a silver finish.,data/images/P443.jpg
P255,daily_essential,Herbal Toothpaste Neem,183,4.3,Keep it fresh with our herbal toothpaste. Enriched with neem.,data/images/P255.jpg
P415,luxury,Rare Perfume Signature,6107,3.9,Indulge in luxury with this rare perfume. Comes in a signature.,data/images/P415.jpg
P240,daily_essential,Antibacterial Toothpaste Mint,112,4.8,Keep it fresh with our antibacterial toothpaste. Enriched with mint.,data/images/P240.jpg
P362,fashion,Waterproof Handbag Brown,6498,4.2,Complete your look with this waterproof handbag. Comes in a stunning brown color.,data/images/P362.jpg
P92,daily_essential,Soft Mask Box,50,4.0,Essential mask for your home. This soft version comes in box.,data/images/P92.jpg
P232,daily_essential,Soft Tissue 500ml,46,3.3,Essential tissue for your home. This soft version comes in 500ml.,data/images/P232.jpg
P98,fashion,Casual Jeans Black,1910,3.1,Stay trendy with our casual jeans. A classic choice in black.,data/images/P98.jpg
P432,electronics,High-Performance Monitor Pro-Max,22811,4.0,Experience the power of this high-performance monitor. Designed with pro-max specs.,data/images/P432.jpg
P238,fashion,Premium Heels Luxury Edition,5209,3.1,This premium heels is perfect for any occasion. Features luxury edition details.,data/images/P238.jpg
P615,daily_essential,Cool Toothpaste Mint,188,4.6,Keep it fresh with our cool toothpaste. Enriched with mint.,data/images/P615.jpg
P198,fashion,Premium Sunglasses Tan,5674,4.3,Complete your look with this premium sunglasses. Comes in a stunning tan color.,data/images/P198.jpg
P396,fashion,Vintage Sunglasses Luxury Edition,1176,4.4,This vintage sunglasses is perfect for any occasion. Features luxury edition details.,data/images/P396.jpg
P261,daily_essential,Strong Tissue 1L,182,3.0,Essential tissue for your home. This strong version comes in 1l.,data/images/P261.jpg
P52,luxury,Exclusive Earrings 24k,8968,3.2,The ultimate symbol of elegance: exclusive earrings with 24k setting.,data/images/P52.jpg
P34,luxury,Pure Gold Gold Necklace Diamond,309504,4.3,The ultimate symbol of elegance: pure gold gold necklace with diamond setting.,data/images/P34.jpg
P471,electronics,Ergonomic Smartwatch Bass Boost,22182,4.5,Get the best in class smartwatch. This ergonomic model comes in bass boost style.,data/images/P471.jpg
P623,daily_essential,Daily Mask Active,316,3.2,Essential mask for your home. This daily version comes in active.,data/images/P623.jpg
P179,daily_essential,Strong Cleaner Active,292,4.8,Essential cleaner for your home. This strong version comes in active.,data/images/P179.jpg
P39,daily_essential,Strong Detergent Box,550,4.6,Essential detergent for your home. This strong version comes in box.,data/images/P39.jpg
P174,grocery,Whole Dal Sack,156,4.9,Quality whole dal for your daily meals. Comes in a sack pack.,data/images/P174.jpg
P645,grocery,Tasty Oil Instant,1424,4.6,Enjoy the taste of tasty oil. The instant is great for sharing.,data/images/P645.jpg
P107,electronics,Pro Tablet 2025 Edition,38987,3.5,Experience the power of this pro tablet. Designed with 2025 edition specs.,data/images/P107.jpg
P223,daily_essential,Soft Tissue Roll,182,4.2,Essential tissue for your home. This soft version comes in roll.,data/images/P223.jpg
P241,electronics,High-Performance Monitor Pro-Max,27245,4.4,The pro-max monitor defines high-performance excellence. Perfect for high-end tasks.,data/images/P241.jpg
P214,daily_essential,Strong Mask 500ml,480,3.1,Essential mask for your home. This strong version comes in 500ml.,data/images/P214.jpg
P243,electronics,Smart Smartwatch Black,14418,3.0,Upgrade your setup with this smart smartwatch. Features a black finish.,data/images/P243.jpg
P457,daily_essential,Herbal Soap Pack of 2,31,3.9,Keep it fresh with our herbal soap. Enriched with pack of 2.,data/images/P457.jpg
P79,fashion,Premium Heels Black,2514,3.3,This premium heels is perfect for any occasion. Features black details.,data/images/P79.jpg
P447,grocery,Polished Sugar Bag,62,4.5,Quality polished sugar for your daily meals. Comes in a bag pack.,data/images/P447.jpg
P2,electronics,High-Performance Tablet 2025 Edition,50839,3.6,The 2025 edition tablet defines high-performance excellence. Perfect for high-end tasks.,data/images/P2.jpg
P572,grocery,Spicy Spices Box,398,4.7,Enjoy the taste of spicy spices. The box is great for sharing.,data/images/P572.jpg
P621,luxury,Genuine Gold Necklace Ruby,192145,4.2,The ultimate symbol of elegance: genuine gold necklace with ruby setting.,data/images/P621.jpg
P395,daily_essential,Herbal Sanitizer Aloe Vera,241,3.2,Keep it fresh with our herbal sanitizer. Enriched with aloe vera.,data/images/P395.jpg
P110,daily_essential,Strong Mask Active,498,4.0,Essential mask for your home. This strong version comes in active.,data/images/P110.jpg
P511,electronics,Ultra Smartphone Fold,62077,3.8,Experience the power of this ultra smartphone. Designed with fold specs.,data/images/P511.jpg
P176,luxury,Handcrafted Diamond Ring Ruby,116066,4.3,The ultimate symbol of elegance: handcrafted diamond ring with ruby setting.,data/images/P176.jpg
P140,grocery,Organic Wheat 5kg,159,3.6,Quality organic wheat for your daily meals. Comes in a 5kg pack.,data/images/P140.jpg
P145,daily_essential,Gentle Face Wash Mint,230,3.3,Keep it fresh with our gentle face wash. Enriched with mint.,data/images/P145.jpg
P96,daily_essential,Hygenic Detergent 500ml,260,3.7,Essential detergent for your home. This hygenic version comes in 500ml.,data/images/P96.jpg
P141,fashion,Cotton T-Shirt Blue,1201,3.7,Upgrade your wardrobe with this cotton t-shirt. The blue size fits perfectly.,data/images/P141.jpg
P173,electronics,Ultra Smartphone Pro-Max,53258,3.2,Experience the power of this ultra smartphone. Designed with pro-max specs.,data/images/P173.jpg
P168,daily_essential,Antibacterial Toothpaste Mint,142,3.2,Keep it fresh with our antibacterial toothpaste. Enriched with mint.,data/images/P168.jpg
P405,daily_essential,Soft Tissue Box,138,4.2,Essential tissue for your home. This soft version comes in box.,data/images/P405.jpg
P550,electronics,Slim Tablet Fold,47837,3.4,The fold tablet defines slim excellence. Perfect for high-end tasks.,data/images/P550.jpg
P68,fashion,Stylish Heels Sport,1826,4.8,Complete your look with this stylish heels. Comes in a stunning sport color.,data/images/P68.jpg
P278,electronics,Ultra Smartphone 2025 Edition,45636,3.4,Experience the power of this ultra smartphone. Designed with 2025 edition specs.,data/images/P278.jpg
P244,fashion,Printed Kurta Small,2037,4.1,Upgrade your wardrobe with this printed kurta. The small size fits perfectly.,data/images/P244.jpg
P217,electronics,Compact Speaker Black,16018,4.4,Upgrade your setup with this compact speaker. Features a black finish.,data/images/P217.jpg
P494,daily_essential,Herbal Sanitizer Aloe Vera,92,4.4,Keep it fresh with our herbal sanitizer. Enriched with aloe vera.,data/images/P494.jpg
P61,electronics,Bluetooth Headphones Silver,11960,3.9,Get the best in class headphones. This bluetooth model comes in silver style.,data/images/P61.jpg
P167,fashion,Leather Watch Tan,10302,4.3,This leather watch is perfect for any occasion. Features tan details.,data/images/P167.jpg
P327,fashion,Vintage Heels Luxury Edition,3255,3.9,This vintage heels is perfect for any occasion. Features luxury edition details.,data/images/P327.jpg
P43,fashion,Cotton T-Shirt Black,731,4.5,Stay trendy with our cotton t-shirt. A classic choice in black.,data/images/P43.jpg
P526,fashion,Waterproof Sneakers Sport,4328,3.7,This waterproof sneakers is perfect for any occasion. Features sport details.,data/images/P526.jpg
P229,daily_essential,Daily Mask Roll,306,4.7,Essential mask for your home. This daily version comes in roll.,data/images/P229.jpg
P648,luxury,Handcrafted Bracelet 18k,21389,3.3,The ultimate symbol of elegance: handcrafted bracelet with 18k setting.,data/images/P648.jpg
P55,grocery,Premium Sugar 10kg,73,4.6,Quality premium sugar for your daily meals. Comes in a 10kg pack.,data/images/P55.jpg
P118,electronics,Pro Tablet Fold,42621,4.1,Experience the power of this pro tablet. Designed with fold specs.,data/images/P118.jpg
P250,electronics,Fast Laptop Max,177538,4.7,Experience the power of this fast laptop. Designed with max specs.,data/images/P250.jpg
P196,fashion,Casual T-Shirt Blue,1281,3.4,Upgrade your wardrobe with this casual t-shirt. The blue size fits perfectly.,data/images/P196.jpg
P322,electronics,High-Performance Tablet Pro-Max,10610,3.9,Experience the power of this high-performance tablet. Designed with pro-max specs.,data/images/P322.jpg
P42,luxury,Royal Perfume Premium,4734,3.0,Indulge in luxury with this royal perfume. Comes in a premium.,data/images/P42.jpg
P483,electronics,Noise-Cancelling Mouse RGB,2902,4.6,Upgrade your setup with this noise-cancelling mouse. Features a rgb finish.,data/images/P483.jpg
P281,daily_essential,Herbal Soap Pack of 2,107,4.1,Keep it fresh with our herbal soap. Enriched with pack of 2.,data/images/P281.jpg
P297,luxury,Exclusive Bracelet Platinum,39653,4.4,The ultimate symbol of elegance: exclusive bracelet with platinum setting.,data/images/P297.jpg
P80,electronics,Smart Mouse RGB,1485,3.2,Get the best in class mouse. This smart model comes in rgb style.,data/images/P80.jpg
P83,electronics,Ergonomic Speaker RGB,19228,3.1,Get the best in class speaker. This ergonomic model comes in rgb style.,data/images/P83.jpg
P381,fashion,Slim-Fit Suit Large,10253,3.5,Upgrade your wardrobe with this slim-fit suit. The large size fits perfectly.,data/images/P381.jpg
P353,luxury,Imported Bracelet 18k,35729,4.5,The ultimate symbol of elegance: imported bracelet with 18k setting.,data/images/P353.jpg
P156,daily_essential,Antibacterial Soap Lemon,46,4.4,Keep it fresh with our antibacterial soap. Enriched with lemon.,data/images/P156.jpg
P254,electronics,Fast Smartphone Max,25096,4.3,Experience the power of this fast smartphone. Designed with max specs.,data/images/P254.jpg
P518,fashion,Summer Saree Small,4487,3.9,Upgrade your wardrobe with this summer saree. The small size fits perfectly.,data/images/P518.jpg
P127,electronics,Smart Mouse RGB,743,4.3,Get the best in class mouse. This smart model comes in rgb style.,data/images/P127.jpg
P247,grocery,Crunchy Chips Family Pack,23,4.2,Enjoy the taste of crunchy chips. The family pack is great for sharing.,data/images/P247.jpg
P639,grocery,Pure Oil Jar,1260,4.1,Enjoy the taste of pure oil. The jar is great for sharing.,data/images/P639.jpg
P613,fashion,Cotton Jeans Red,1759,4.0,Stay trendy with our cotton jeans. A classic choice in red.,data/images/P613.jpg
P195,electronics,Ergonomic Headphones Silver,1828,4.5,Upgrade your setup with this ergonomic headphones. Features a silver finish.,data/images/P195.jpg
P553,fashion,Silk Jeans Blue,3781,4.9,Upgrade your wardrobe with this silk jeans. The blue size fits perfectly.,data/images/P553.jpg
P536,luxury,Exclusive Diamond Ring 24k,180445,4.8,The ultimate symbol of elegance: exclusive diamond ring with 24k setting.,data/images/P536.jpg
P191,luxury,Elegant Suit Classic,18462,4.8,Indulge in luxury with this elegant suit. Comes in a classic.,data/images/P191.jpg
P109,luxury,Royal Leather Bag Signature,63664,4.4,Indulge in luxury with this royal leather bag. Comes in a signature.,data/images/P109.jpg
P169,fashion,Waterproof Sneakers Black,2489,4.7,This waterproof sneakers is perfect for any occasion. Features black details.,data/images/P169.jpg
P557,fashion,Printed Saree Large,14251,3.2,Upgrade your wardrobe with this printed saree. The large size fits perfectly.,data/images/P557.jpg
P300,daily_essential,Refreshing Sanitizer Large,275,4.1,Keep it fresh with our refreshing sanitizer. Enriched with large.,data/images/P300.jpg
P325,luxury,Italian Silk Saree Custom,7273,4.3,Indulge in luxury with this italian silk saree. Comes in a custom.,data/images/P325.jpg
P361,fashion,Premium Watch Brown,22120,4.6,Complete your look with this premium watch. Comes in a stunning brown color.,data/images/P361.jpg
P546,luxury,Italian Clutch Signature,9501,3.2,Indulge in luxury with this italian clutch. Comes in a signature.,data/images/P546.jpg
P209,fashion,Waterproof Sneakers Black,6325,4.9,Complete your look with this waterproof sneakers. Comes in a stunning black color.,data/images/P209.jpg
P632,grocery,Aromatic Tea Pouch,189,3.5,Enjoy the taste of aromatic tea. The pouch is great for sharing.,data/images/P632.jpg
P286,grocery,Refined Wheat 10kg,124,3.9,Quality refined wheat for your daily meals. Comes in a 10kg pack.,data/images/P286.jpg
P412,grocery,Polished Rice 10kg,60,3.6,Quality polished rice for your daily meals. Comes in a 10kg pack.,data/images/P412.jpg
P521,daily_essential,Cool Soap Mint,132,3.2,Keep it fresh with our cool soap. Enriched with mint.,data/images/P521.jpg
P276,fashion,Leather Sunglasses Brown,4723,4.4,This leather sunglasses is perfect for any occasion. Features brown details.,data/images/P276.jpg
P360,electronics,Bluetooth Keyboard Mini,1155,4.7,Upgrade your setup with this bluetooth keyboard. Features a mini finish.,data/images/P360.jpg
P89,electronics,Fast Monitor Fold,19023,3.1,The fold monitor defines fast excellence. Perfect for high-end tasks.,data/images/P89.jpg
P26,grocery,Aromatic Biscuits Pouch,31,3.6,Enjoy the taste of aromatic biscuits. The pouch is great for sharing.,data/images/P26.jpg
P628,luxury,Exclusive Diamond Ring 18k,70213,4.8,The ultimate symbol of elegance: exclusive diamond ring with 18k setting.,data/images/P628.jpg
P499,electronics,Noise-Cancelling Headphones Sport Edition,1125,3.4,Upgrade your setup with this noise-cancelling headphones. Features a sport edition finish.,data/images/P499.jpg
P437,electronics,Smart Keyboard Black,3138,4.2,Upgrade your setup with this smart keyboard. Features a black finish.,data/images/P437.jpg
P441,fashion,Slim-Fit T-Shirt Blue,793,3.4,Upgrade your wardrobe with this slim-fit t-shirt. The blue size fits perfectly.,data/images/P441.jpg
P545,fashion,Formal T-Shirt Blue,335,4.0,Stay trendy with our formal t-shirt. A classic choice in blue.,data/images/P545.jpg
P649,grocery,Aromatic Biscuits Family Pack,69,3.6,Enjoy the taste of aromatic biscuits. The family pack is great for sharing.,data/images/P649.jpg
P402,daily_essential,Refreshing Soap Neem,45,4.9,Keep it fresh with our refreshing soap. Enriched with neem.,data/images/P402.jpg
P220,grocery,Whole Wheat Bag,42,3.9,Quality whole wheat for your daily meals. Comes in a bag pack.,data/images/P220.jpg
P355,grocery,Organic Sugar Bag,46,3.4,Quality organic sugar for your daily meals. Comes in a bag pack.,data/images/P355.jpg
P537,grocery,Premium Wheat 5kg,154,3.1,Quality premium wheat for your daily meals. Comes in a 5kg pack.,data/images/P537.jpg
P111,electronics,Noise-Cancelling Smartwatch Sport Edition,12000,4.6,Get the best in class smartwatch. This noise-cancelling model comes in sport edition style.,data/images/P111.jpg
P285,luxury,Italian Silk Saree Signature,16443,4.7,Indulge in luxury with this italian silk saree. Comes in a signature.,data/images/P285.jpg
P150,luxury,Italian Clutch Velvet Box,10202,4.5,Indulge in luxury with this italian clutch. Comes in a velvet box.,data/images/P150.jpg
P138,luxury,Limited Edition Leather Bag Premium,54283,4.1,Indulge in luxury with this limited edition leather bag. Comes in a premium.,data/images/P138.jpg
P383,grocery,Whole Rice Sack,119,4.5,Quality whole rice for your daily meals. Comes in a sack pack.,data/images/P383.jpg
P442,daily_essential,Hygenic Detergent Roll,580,4.5,Essential detergent for your home. This hygenic version comes in roll.,data/images/P442.jpg
P555,daily_essential,Strong Towel Active,444,3.6,Essential towel for your home. This strong version comes in active.,data/images/P555.jpg
P430,fashion,Casual Jeans Small,2585,3.1,Upgrade your wardrobe with this casual jeans. The small size fits perfectly.,data/images/P430.jpg
P474,fashion,Silk Jeans Red,3820,4.2,Upgrade your wardrobe with this silk jeans. The red size fits perfectly.,data/images/P474.jpg
P469,grocery,Polished Rice 10kg,210,4.2,Quality polished rice for your daily meals. Comes in a 10kg pack.,data/images/P469.jpg
P305,fashion,Printed Suit Large,16429,4.1,Stay trendy with our printed suit. A classic choice in large.,data/images/P305.jpg
P337,electronics,Gaming Tablet Max,41798,3.2,The max tablet defines gaming excellence. Perfect for high-end tasks.,data/images/P337.jpg
P468,daily_essential,Gentle Soap Aloe Vera,124,3.1,Keep it fresh with our gentle soap. Enriched with aloe vera.,data/images/P468.jpg
P564,daily_essential,Refreshing Toothpaste Lemon,184,3.4,Keep it fresh with our refreshing toothpaste. Enriched with lemon.,data/images/P564.jpg
P25,daily_essential,Gentle Shampoo Neem,551,3.1,Keep it fresh with our gentle shampoo. Enriched with neem.,data/images/P25.jpg
P589,daily_essential,Daily Cleaner 500ml,497,3.9,Essential cleaner for your home. This daily version comes in 500ml.,data/images/P589.jpg
P544,luxury,Pure Gold Earrings 24k,38601,4.4,The ultimate symbol of elegance: pure gold earrings with 24k setting.,data/images/P544.jpg
P263,electronics,Gaming Laptop Lite,95351,4.4,The lite laptop defines gaming excellence. Perfect for high-end tasks.,data/images/P263.jpg
P121,grocery,Premium Dal Sack,286,4.3,Quality premium dal for your daily meals. Comes in a sack pack.,data/images/P121.jpg
P294,electronics,Gaming Tablet Lite,53224,3.5,Experience the power of this gaming tablet. Designed with lite specs.,data/images/P294.jpg
P172,luxury,Italian Leather Bag Signature,15983,3.9,Indulge in luxury with this italian leather bag. Comes in a signature.,data/images/P172.jpg
P258,daily_essential,Herbal Soap Neem,42,3.1,Keep it fresh with our herbal soap. Enriched with neem.,data/images/P258.jpg
P591,daily_essential,Soft Detergent 500ml,358,3.6,Essential detergent for your home. This soft version comes in 500ml.,data/images/P591.jpg
P272,luxury,Limited Edition Perfume Signature,11697,3.6,Indulge in luxury with this limited edition perfume. Comes in a signature.,data/images/P272.jpg
P485,daily_essential,Gentle Face Wash Pack of 2,234,4.2,Keep it fresh with our gentle face wash. Enriched with pack of 2.,data/images/P485.jpg
P94,electronics,Slim Smartphone Max,23823,3.7,The max smartphone defines slim excellence. Perfect for high-end tasks.,data/images/P94.jpg
P497,electronics,Ultra Smartphone Fold,82518,3.2,Experience the power of this ultra smartphone. Designed with fold specs.,data/images/P497.jpg
P182,grocery,Premium Wheat Sack,204,3.1,Quality premium wheat for your daily meals. Comes in a sack pack.,data/images/P182.jpg
P295,luxury,Imported Diamond Ring Platinum,37491,4.1,The ultimate symbol of elegance: imported diamond ring with platinum setting.,data/images/P295.jpg
P344,fashion,Formal T-Shirt Red,1260,3.9,Upgrade your wardrobe with this formal t-shirt. The red size fits perfectly.,data/images/P344.jpg
P588,daily_essential,Herbal Face Wash Large,235,3.4,Keep it fresh with our herbal face wash. Enriched with large.,data/images/P588.jpg
P625,electronics,Smart Camera Mini,102756,4.2,Upgrade your setup with this smart camera. Features a mini finish.,data/images/P625.jpg
P85,daily_essential,Cool Sanitizer Lemon,152,4.0,Keep it fresh with our cool sanitizer. Enriched with lemon.,data/images/P85.jpg
P488,fashion,Vintage Handbag Brown,6343,4.1,Complete your look with this vintage handbag. Comes in a stunning brown color.,data/images/P488.jpg
P477,daily_essential,Refreshing Sanitizer Lemon,96,4.3,Keep it fresh with our refreshing sanitizer. Enriched with lemon.,data/images/P477.jpg
P134,grocery,Polished Dal 1kg,113,4.2,Quality polished dal for your daily meals. Comes in a 1kg pack.,data/images/P134.jpg
P163,electronics,Compact Camera Silver,112838,4.5,Get the best in class camera. This compact model comes in silver style.,data/images/P163.jpg
P584,electronics,High-Performance Laptop Lite,44925,3.4,The lite laptop defines high-performance excellence. Perfect for high-end tasks.,data/images/P584.jpg
P72,luxury,Italian Suit Custom,27090,3.9,Indulge in luxury with this italian suit. Comes in a custom.,data/images/P72.jpg
P547,daily_essential,Cool Toothpaste Pack of 2,129,4.3,Keep it fresh with our cool toothpaste. Enriched with pack of 2.,data/images/P547.jpg
P165,electronics,Ergonomic Speaker Sport Edition,16403,3.2,Upgrade your setup with this ergonomic speaker. Features a sport edition finish.,data/images/P165.jpg
P607,luxury,Imported Bracelet Platinum,4291,4.0,The ultimate symbol of elegance: imported bracelet with platinum setting.,data/images/P607.jpg
P376,daily_essential,Refreshing Soap Lemon,103,3.8,Keep it fresh with our refreshing soap. Enriched with lemon.,data/images/P376.jpg
P226,daily_essential,Cool Shampoo Lemon,369,3.5,Keep it fresh with our cool shampoo. Enriched with lemon.,data/images/P226.jpg
P369,daily_essential,Refreshing Toothpaste Neem,151,3.8,Keep it fresh with our refreshing toothpaste. Enriched with neem.,data/images/P369.jpg
P18,fashion,Formal Kurta Black,2944,3.9,Upgrade your wardrobe with this formal kurta. The black size fits perfectly.,data/images/P18.jpg
P128,electronics,Compact Mouse RGB,1472,3.8,Get the best in class mouse. This compact model comes in rgb style.,data/images/P128.jpg
P416,fashion,Printed Jeans Red,2702,3.4,Stay trendy with our printed jeans. A classic choice in red.,data/images/P416.jpg
P605,grocery,Aromatic Spices Pouch,363,3.1,Enjoy the taste of aromatic spices. The pouch is great for sharing.,data/images/P605.jpg
P595,luxury,Genuine Gold Necklace Platinum,294013,4.3,The ultimate symbol of elegance: genuine gold necklace with platinum setting.,data/images/P595.jpg
P62,electronics,Wireless Keyboard Sport Edition,3964,4.6,Get the best in class keyboard. This wireless model comes in sport edition style.,data/images/P62.jpg
P462,daily_essential,Antibacterial Face Wash Lemon,454,4.2,Keep it fresh with our antibacterial face wash. Enriched with lemon.,data/images/P462.jpg
P203,fashion,Waterproof Sneakers Black,5560,4.4,Complete your look with this waterproof sneakers. Comes in a stunning black color.,data/images/P203.jpg
P439,luxury,Royal Silk Saree Custom,30564,4.2,Indulge in luxury with this royal silk saree. Comes in a custom.,data/images/P439.jpg
P73,daily_essential,Gentle Soap Pack of 2,122,3.4,Keep it fresh with our gentle soap. Enriched with pack of 2.,data/images/P73.jpg
P348,electronics,Pro Monitor Max,20030,4.4,Experience the power of this pro monitor. Designed with max specs.,data/images/P348.jpg
P397,daily_essential,Refreshing Soap Neem,143,3.6,Keep it fresh with our refreshing soap. Enriched with neem.,data/images/P397.jpg
P27,electronics,Pro Tablet Max,24449,3.2,The max tablet defines pro excellence. Perfect for high-end tasks.,data/images/P27.jpg
P197,luxury,Limited Edition Luxury Watch Premium,269379,4.7,Indulge in luxury with this limited edition luxury watch. Comes in a premium.,data/images/P197.jpg
P266,grocery,Fresh Chips Pack of 3,74,3.5,Enjoy the taste of fresh chips. The pack of 3 is great for sharing.,data/images/P266.jpg
P599,luxury,Handcrafted Earrings 24k,13478,3.4,The ultimate symbol of elegance: handcrafted earrings with 24k setting.,data/images/P599.jpg
P345,electronics,Ultra Tablet Fold,16701,4.4,The fold tablet defines ultra excellence. Perfect for high-end tasks.,data/images/P345.jpg
P323,electronics,Smart Keyboard Silver,1643,3.5,Get the best in class keyboard. This smart model comes in silver style.,data/images/P323.jpg
P65,fashion,Summer Jacket Medium,2433,3.5,Stay trendy with our summer jacket. A classic choice in medium.,data/images/P65.jpg
P505,grocery,Crunchy Oil Instant,484,3.2,Enjoy the taste of crunchy oil. The instant is great for sharing.,data/images/P505.jpg
P446,luxury,Italian Suit Classic,8190,4.7,Indulge in luxury with this italian suit. Comes in a classic.,data/images/P446.jpg
